nama_kecamatan,jml_penduduk
RUNGKUT,121183
KARANG PILANG,75386
WONOCOLO,79895
TENGGILIS MEJOYO,58889
GUNUNG ANYAR,61202
MULYOREJO,87241
SUKOMANUNGGAL,104570
ASEM ROWO,47724
BULAK,46700
PAKAL,61725
SAMBIKEREP,67291
WONOKROMO,155430
TEGALSARI,98488
SAWAHAN,199479
GENTENG,58752
GUBENG,133869
SUKOLILO,114493
TAMBAKSARI,226638
SIMOKERTO,92881
PABEAN CANTIAN,74595
BUBUTAN,97570
TANDES,91947
KREMBANGAN,115111
SEMAMPIR,181737
KENJERAN,179358
LAKARSANTRI,63567
BENOWO,72312
WIYUNG,74811
DUKUH PAKIS,59436
GAYUNGAN,43838
JAMBANGAN,53958
