0,0,1166,2333,2333,2333,0,0,0,0,4388,8261,7174,0,0,0,0,0,0,0
1064,2128,3499,4665,4665,0,0,0,0,4388,8776,33043,28697,7174,0,0,0,0,0,0
3193,4257,4461,4665,4665,1166,0,0,0,4389,13164,33043,30870,28697,0,0,0,0,0,0
4257,4257,4359,4665,4665,2333,0,0,10963,21926,8776,33043,30870,21523,4916,0,0,0,0,0
2099,4198,4198,4583,4583,4150,4150,4150,13038,21926,17552,33043,29784,28697,4916,0,0,0,0,0
0,4257,4257,4665,4583,4150,4150,4150,13038,16444,20832,37152,25751,24623,9832,0,0,0,0,0
1050,4198,4198,4583,8462,12260,6177,4150,4150,28703,28703,27352,38284,39415,9832,4916,0,0,0,0
0,2128,4257,4665,8462,12260,10232,9287,4150,35480,26610,9854,39415,39415,7586,7374,0,0,0,0
0,0,2128,2333,5478,12260,12260,14423,14423,35814,11750,23501,39415,23501,7586,7586,7586,3793,0,0
0,0,1979,7917,7917,6130,12260,14423,14423,49870,35814,23501,23282,3794,7586,7586,7586,5690,0,0
0,0,3958,7917,7917,7917,3958,14423,7212,49870,35814,5820,23282,3793,6620,5690,1897,5654,2827,0
0,0,5937,7917,7917,7917,7925,11174,9549,49870,26860,23282,11641,5654,5654,1897,5654,5654,4240,0
0,0,2270,4541,1979,3958,7925,9549,9549,15919,23912,11641,16557,5654,5654,5654,5654,5654,4240,0
0,0,2270,4541,4541,4541,9975,8950,8437,15919,23912,11641,14468,5654,5654,5654,2827,5654,4240,0
0,0,2270,4541,4541,4541,9975,9975,10185,23912,23912,23912,5889,8716,2827,2827,8977,7315,5902,0
0,0,0,0,4541,4541,9975,9975,15008,15656,17259,11414,5889,11077,8977,8977,8977,8977,4488,0
0,0,0,0,4541,4541,7258,10289,15008,15656,20043,5889,5889,9677,8977,8977,8977,8977,0,0
0,0,0,0,2270,2270,10185,10289,15008,13673,22827,11778,7650,7982,8313,8313,7982,6401,0,0
0,0,0,0,0,1,10394,7796,0,11690,20043,5889,1913,3825,7650,7650,7650,3825,0,0
0,0,0,0,0,1,5197,0,0,0,0,0,0,0,0,0,0,0,0,0
